latitude,longitude,battle_link,location_link
32°22′N,80°41′W,/wiki/Battle_of_the_Combahee_River,"/wiki/Beaufort_County,_South_Carolina"
48°44′43″N,4°00′35″W,/wiki/Action_of_4_September_1782,/wiki/%C3%8Ele_de_Batz
,,/wiki/Action_of_5_September_1782,/wiki/League_(unit)
40°4′13″N,80°41′55″W,/wiki/Siege_of_Fort_Henry_(1782),"/wiki/Wheeling,_West_Virginia"
36°08′N,5°21′W,/wiki/Great_Siege_of_Gibraltar,/wiki/Gibraltar
39°04′N,75°10′W,/wiki/Action_of_15_September_1782,/wiki/Delaware_Bay
19°N,71°W,/wiki/Action_of_18_October_1782,/wiki/Hispaniola
32°44′16″N,79°56′34″W,/wiki/Battle_of_James_Island,"/wiki/James_Island,_South_Carolina"
14°39′00″N,61°00′54″W,/wiki/Action_of_6_December_1782,/wiki/Martinique
39°25′13″N,75°31′11″W,/wiki/Battle_of_the_Delaware_Capes,/wiki/Delaware_River
39°46′07″N,74°16′37″W,/wiki/Battle_of_Cedar_Bridge,"/wiki/Barnegat_Township,_New_Jersey"
19°45′36″N,72°12′00″W,/wiki/Action_of_2_January_1783,/wiki/Cap-Ha%C3%AFtien
37°1′44″N,76°4′5″W,/wiki/Action_of_22_January_1783,/wiki/Virginia_Capes
16°15′N,61°30′W,/wiki/Action_of_15_February_1783,/wiki/Guadeloupe
15°N,75°W,/wiki/Action_of_17_February_1783,/wiki/Caribbean_Sea
25°02′39″N,77°21′01″W,/wiki/Capture_of_the_Bahamas_(1783),"/wiki/Nassau,_Bahamas"
34°01′00″N,91°20′43″W,/wiki/Colbert_raid,/wiki/Arkansas_Post
